Project Name ▲,Sample ID,Depth,Biome,Environmental Feature,Environmental Material,Nitrate,Phosphate
CDEBI Juan de Fuca Ridge Flank,SAMN03166097,2644,marine abyssal zone biome,oceanic zone,sea water,40.7,2.93
CDEBI Juan de Fuca Ridge Flank,SAMN03166099,2650,marine abyssal zone biome,oceanic zone,sea water,41.3,2.95
CDEBI Juan de Fuca Ridge Flank,SAMN03166100,2650,marine abyssal zone biome,oceanic zone,sea water,41.3,2.95
CDEBI Juan de Fuca Ridge Flank,SAMN03166101,2650,marine abyssal zone biome,oceanic zone,sea water,41.3,2.95
CDEBI Juan de Fuca Ridge Flank,SAMN03166102,2571,marine abyssal zone biome,oceanic zone,sea water,27.3,2.14
CDEBI Juan de Fuca Ridge Flank,SAMN03166103,2571,marine abyssal zone biome,oceanic zone,sea water,27.3,2.14
CDEBI Juan de Fuca Ridge Flank,SAMN03166104,2571,marine abyssal zone biome,oceanic zone,sea water,27.3,2.14
CDEBI Juan de Fuca Ridge Flank,SAMN03166105,2648,marine abyssal zone biome,oceanic zone,sea water,40.3,2.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166106,2648,marine abyssal zone biome,oceanic zone,sea water,40.3,2.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166107,2648,marine abyssal zone biome,oceanic zone,sea water,40.3,2.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166108,2575,marine abyssal zone biome,oceanic zone,sea water,41,2.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166109,2575,marine abyssal zone biome,oceanic zone,sea water,41,2.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166113,2661,marine abyssal zone biome,oceanic zone,sea water,42.4,2.7
CDEBI Juan de Fuca Ridge Flank,SAMN03166114,2661,marine abyssal zone biome,oceanic zone,sea water,42.4,2.7
CDEBI Juan de Fuca Ridge Flank,SAMN03166115,2500,marine abyssal zone biome,oceanic zone,sea water,42.8,2.7
CDEBI Juan de Fuca Ridge Flank,SAMN03166116,2500,marine abyssal zone biome,oceanic zone,sea water,42.8,2.7
GOS,SAMEA3512125,35,ocean biome,coastal water body,sea water,25.949,2.268
GOS,SAMEA3512124,35,ocean biome,coastal water body,sea water,25.949,2.268
GOS,SAMEA3512123,35,ocean biome,coastal water body,sea water,25.949,2.268
GOS,SAMEA3512131,50.5,ocean biome,coastal water body,sea water,29.151,2.039
GOS,SAMEA3512130,50.5,ocean biome,coastal water body,sea water,29.151,2.039
GOS,SAMEA3512129,50.5,ocean biome,coastal water body,sea water,29.151,2.039
GOS,SAMEA3512137,17,ocean biome,coastal water body,sea water,0.252,0.035
GOS,SAMEA3512136,17,ocean biome,coastal water body,sea water,0.252,0.035
GOS,SAMEA3512135,17,ocean biome,coastal water body,sea water,0.252,0.035
